0.,0.364444,0.366379,0.505791,0.744027,0.482072,0.669039,0.615385,0.652015,0.713805
0.364444,0.,0.315175,0.430605,0.721212,0.505155,0.687117,0.653061,0.672956,0.698507
0.366379,0.315175,0.,0.184739,0.744928,0.547231,0.705015,0.634228,0.683891,0.700581
0.505791,0.430605,0.184739,0.,0.6875,0.594427,0.685294,0.607383,0.630435,0.653846
0.744027,0.721212,0.744928,0.6875,0.,0.49481,0.582781,0.697368,0.672956,0.607029
0.482072,0.505155,0.547231,0.594427,0.49481,0.,0.6,0.663399,0.677812,0.626911
0.669039,0.687117,0.705015,0.685294,0.582781,0.6,0.,0.694805,0.563758,0.631579
0.615385,0.653061,0.634228,0.607383,0.697368,0.663399,0.694805,0.,0.554745,0.571429
0.652015,0.672956,0.683891,0.630435,0.672956,0.677812,0.563758,0.554745,0.,0.650155
0.713805,0.698507,0.700581,0.653846,0.607029,0.626911,0.631579,0.571429,0.650155,0.
0.,0.42953,0.546448,0.537037,0.570707,0.673797,0.675
0.42953,0.,0.351351,0.594771,0.558011,0.621951,0.587209
0.546448,0.351351,0.,0.416667,0.489691,0.642105,0.567708
0.537037,0.594771,0.416667,0.,0.572973,0.603659,0.684492
0.570707,0.558011,0.489691,0.572973,0.,0.738532,0.64186
0.673797,0.621951,0.642105,0.603659,0.738532,0.,0.403727
0.675,0.587209,0.567708,0.684492,0.64186,0.403727,0.
0.,0.,0.488038,0.56,0.606635,0.49505,0.662857,0.691489,0.578035,0.642857
0.,0.,0.488038,0.56,0.606635,0.49505,0.662857,0.691489,0.578035,0.642857
0.488038,0.488038,0.,0.602941,0.604444,0.485981,0.648936,0.663317,0.60733,0.615385
0.56,0.56,0.602941,0.,0.544715,0.447257,0.715517,0.713693,0.675214,0.676259
0.606635,0.606635,0.604444,0.544715,0.,0.402116,0.666667,0.688172,0.597701,0.627273
0.49505,0.49505,0.485981,0.447257,0.402116,0.,0.677596,0.704082,0.612022,0.655172
0.662857,0.662857,0.648936,0.715517,0.666667,0.677596,0.,0.141414,0.479339,0.640449
0.691489,0.691489,0.663317,0.713693,0.688172,0.704082,0.141414,0.,0.526316,0.564972
0.578035,0.578035,0.60733,0.675214,0.597701,0.612022,0.479339,0.526316,0.,0.432099
0.642857,0.642857,0.615385,0.676259,0.627273,0.655172,0.640449,0.564972,0.432099,0.
